"","n","nchain","run","exp","rmse","cov"
"461",1e+05,1,31,1,0.297859302133727,0.906
"462",1e+05,2,31,1,0.296603282423197,0.914
"463",1e+05,5,31,1,0.291490707282571,0.923
"464",20000,1,31,1,0.441205271743678,0.925
"465",20000,2,31,1,0.414131376548973,0.922
"466",20000,5,31,1,0.400184488816957,0.942
"467",50000,1,31,1,0.266180362015682,0.914
"468",50000,2,31,1,0.257475550001634,0.943
"469",50000,5,31,1,0.2484969045299,0.958
"470",100,1,32,1,1.23897119750613,0.991
"471",100,2,32,1,1.26459835358275,0.99
"472",100,5,32,1,1.24847715697929,0.99
"473",1000,1,32,1,0.87656169304627,0.973
"474",1000,2,32,1,0.868844807512939,0.971
"475",1000,5,32,1,0.854008483120281,0.973
"476",10000,1,32,1,0.460650633265993,0.941
"477",10000,2,32,1,0.506608744677462,0.943
"478",10000,5,32,1,0.461919739535346,0.957
"479",1e+05,1,32,1,0.286263563600964,0.915
"480",1e+05,2,32,1,0.275778685384241,0.915
"481",1e+05,5,32,1,0.265212623394926,0.941
"482",20000,1,32,1,0.371431607682835,0.939
"483",20000,2,32,1,0.365009481247933,0.948
"484",20000,5,32,1,0.358758234189468,0.95
"485",50000,1,32,1,0.323678064186701,0.934
"486",50000,2,32,1,0.319367067323793,0.949
"487",50000,5,32,1,0.321444142118623,0.943
"488",100,1,33,1,1.36528922388378,0.985
"489",100,2,33,1,1.37721887167773,0.987
"490",100,5,33,1,1.36708026329923,0.987
"491",1000,1,33,1,0.882413980042181,0.969
"492",1000,2,33,1,0.888388383949417,0.966
"493",1000,5,33,1,0.888051283678895,0.965
"494",10000,1,33,1,0.417425110902027,0.96
"495",10000,2,33,1,0.390992523704516,0.972
"496",10000,5,33,1,0.400532071829243,0.975
"497",1e+05,1,33,1,0.198596368917109,0.952
"498",1e+05,2,33,1,0.200560096793355,0.964
"499",1e+05,5,33,1,0.199531199450773,0.972
"500",20000,1,33,1,0.378063319500688,0.947
"501",20000,2,33,1,0.398604611836747,0.943
"502",20000,5,33,1,0.376858119154214,0.956
"503",50000,1,33,1,0.286798270164645,0.934
"504",50000,2,33,1,0.284033498883147,0.932
"505",50000,5,33,1,0.273736202868044,0.96
"506",100,1,34,1,1.40919922985939,0.976
"507",100,2,34,1,1.412657380383,0.977
"508",100,5,34,1,1.41896635057935,0.978
"509",1000,1,34,1,0.878975583152936,0.971
"510",1000,2,34,1,0.857408605033642,0.978
"511",1000,5,34,1,0.878032691888453,0.974
"512",10000,1,34,1,0.436080942008368,0.944
"513",10000,2,34,1,0.43595452883933,0.948
"514",10000,5,34,1,0.418859158449936,0.96
"515",1e+05,1,34,1,0.376657488399708,0.888
"516",1e+05,2,34,1,0.359225596947669,0.921
"517",1e+05,5,34,1,0.359139876426674,0.921
"518",20000,1,34,1,0.352774447112429,0.935
"519",20000,2,34,1,0.330845263919777,0.961
"520",20000,5,34,1,0.322060345160901,0.97
"521",50000,1,34,1,0.360263561725841,0.883
"522",50000,2,34,1,0.342951275917578,0.918
"523",50000,5,34,1,0.337487315907039,0.926
"524",100,1,35,1,1.35008033506854,0.989
"525",100,2,35,1,1.32433578969345,0.985
"526",100,5,35,1,1.35435988413138,0.985
"527",1000,1,35,1,0.805890389777388,0.972
"528",1000,2,35,1,0.798989717053226,0.972
"529",1000,5,35,1,0.80984403093107,0.972
"530",10000,1,35,1,0.452290404387812,0.937
"531",10000,2,35,1,0.444069511171544,0.94
"532",10000,5,35,1,0.440095441212877,0.958
"533",1e+05,1,35,1,0.336215490394943,0.904
"534",1e+05,2,35,1,0.341116924201688,0.894
"535",1e+05,5,35,1,0.336722207179288,0.915
"536",20000,1,35,1,0.308486749632691,0.981
"537",20000,2,35,1,0.32187182903077,0.972
"538",20000,5,35,1,0.313942892845917,0.976
"539",50000,1,35,1,0.342967282213618,0.938
"540",50000,2,35,1,0.350494507890296,0.943
"541",50000,5,35,1,0.34999805942355,0.944
"542",100,1,36,1,1.71988629432126,0.957
"543",100,2,36,1,1.73028541045536,0.957
"544",100,5,36,1,1.7106284072702,0.961
"545",1000,1,36,1,0.925696943782115,0.964
"546",1000,2,36,1,0.914219092050363,0.971
"547",1000,5,36,1,0.912881358273239,0.97
"548",10000,1,36,1,0.471001981239847,0.945
"549",10000,2,36,1,0.459750909697539,0.954
"550",10000,5,36,1,0.445697752928444,0.961
"551",1e+05,1,36,1,0.279530160924026,0.902
"552",1e+05,2,36,1,0.286868255809859,0.902
"553",1e+05,5,36,1,0.283947902279025,0.949
"554",20000,1,36,1,0.305617819563541,0.955
"555",20000,2,36,1,0.302595393358902,0.964
"556",20000,5,36,1,0.289609296249699,0.965
"557",50000,1,36,1,0.350452290014778,0.912
"558",50000,2,36,1,0.341427599798603,0.951
"559",50000,5,36,1,0.337067974824726,0.951
"560",100,1,37,1,1.63125308207238,0.98
"561",100,2,37,1,1.61696024346641,0.977
"562",100,5,37,1,1.62116962507287,0.979
"563",1000,1,37,1,0.956024235113971,0.949
"564",1000,2,37,1,0.968013033887019,0.938
"565",1000,5,37,1,0.978435721339264,0.941
"566",10000,1,37,1,0.377995205859101,0.968
"567",10000,2,37,1,0.397049793240188,0.971
"568",10000,5,37,1,0.378817152196637,0.977
"569",1e+05,1,37,1,0.234905170124942,0.92
"570",1e+05,2,37,1,0.237332834281712,0.944
"571",1e+05,5,37,1,0.237810198427162,0.932
"572",20000,1,37,1,0.406315975103659,0.92
"573",20000,2,37,1,0.387378155509629,0.946
"574",20000,5,37,1,0.383194196636716,0.949
"575",50000,1,37,1,0.336569207799623,0.922
